======== Warning: The profile is invalid or incomplete
======== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
12.0998s  263.33us              (2 1 1)      (1024 1 1)         8        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorSelectOp<Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [672927]
12.1000s  329.08us              (2 1 1)      (1024 1 1)        10        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorSlicingOp<Eigen::array<__int64, unsigned int=2> const , Eigen::array<__int64, unsigned int=2> const , Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, int>(__int64, unsigned int=2) [672934]
12.1004s  177.83us              (2 1 1)      (1024 1 1)        10        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorSlicingOp<Eigen::array<__int64, unsigned int=2> const , Eigen::array<__int64, unsigned int=2> const , Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, int>(__int64, unsigned int=2) [672938]
12.1006s  1.3330us                    -               -         -         -         -  692.22KB  519.30GB/s        GK20A (0)         1        13  [CUDA memset]
12.1007s  323.22ms             (16 3 1)       (16 16 1)        62  8.1920KB        0B         -           -        GK20A (0)         1        13  void Eigen::EigenFloatContractionKernel16x16<int, Eigen::internal::TensorContractionInputMapper<float, int, int=1, Eigen::TensorEvaluator<Eigen::TensorReshapingOp<Eigen::DSizes<int, int=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=4, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::array<int, unsigned int=1>, Eigen::array<int, unsigned int=1>, int=4, bool=1, bool=0, int=0>, Eigen::internal::TensorContractionInputMapper<float, int, int=0, Eigen::TensorEvaluator<Eigen::TensorReshapingOp<Eigen::DSizes<int, int=2> const , Eigen::TensorImagePatchOp<int=-1, int=-1, Eigen::TensorMap<Eigen::Tensor<float const , int=4, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, Eigen::array<int, unsigned int=1>, Eigen::array<int, unsigned int=1>, int=4, bool=1, bool=0, int=0>, Eigen::internal::blas_data_mapper<float, int, int=0, int=0>>(float, int, int=1, int, int=1, int=1) [672951]
12.4241s  258.42us              (2 1 1)      (1024 1 1)        32        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned int=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned int=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2) [672958]
12.4244s  174.50us              (2 1 1)      (1024 1 1)        18        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const , Eigen::TensorBroadcastingOp<Eigen::array<int, unsigned int=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2) [672965]
12.4246s  176.08us              (2 1 1)      (1024 1 1)        15        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_left<float, float, Eigen::internal::scalar_product_op<float, float>, bool=1>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [672972]
12.4247s  91.000us              (2 1 1)      (1024 1 1)         8        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<bool, float, Eigen::internal::greater<float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [672979]
12.4248s  203.50us              (2 1 1)      (1024 1 1)         8        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorSelectOp<Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [672986]
12.4250s     834ns                    -               -         -         -         -  287.30KB  344.48GB/s        GK20A (0)         1        13  [CUDA memset]
12.4251s  4.8901ms              (7 3 1)       (16 16 1)        69  8.1920KB        0B         -           -        GK20A (0)         1        13  void Eigen::EigenFloatContractionKernel16x16<int, Eigen::internal::TensorContractionInputMapper<float, int, int=1, Eigen::TensorEvaluator<Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const , Eigen::GpuDevice>, Eigen::array<int, unsigned int=1>, Eigen::array<int, unsigned int=1>, int=4, bool=1, bool=0, int=0>, Eigen::internal::TensorContractionInputMapper<float, int, int=0, Eigen::TensorEvaluator<Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const , Eigen::GpuDevice>, Eigen::array<int, unsigned int=1>, Eigen::array<int, unsigned int=1>, int=4, bool=1, bool=0, int=0>, Eigen::internal::blas_data_mapper<float, int, int=0, int=0>>(float, int, int=1, int, int=1, int=1) [672999]
12.4300s  74.750us              (1 1 1)      (1024 1 1)        10        0B        0B         -           -        GK20A (0)         1        13  void tensorflow::BiasNHWCKernel<float>(int, float const *, float const , tensorflow::BiasNHWCKernel<float>*, int) [673009]
12.4300s  105.17us              (2 1 1)      (1024 1 1)        18        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=5, int=1, int>, int=16>, Eigen::TensorSlicingOp<Eigen::DSizes<int, int=5> const , Eigen::DSizes<int, int=5> const , Eigen::TensorMap<Eigen::Tensor<float const , int=5, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=5) [673019]
12.4302s  2.6670us              (1 1 1)      (1024 1 1)         8        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::ReductionInitKernel<float, int>(float, int, Eigen::internal::ReductionInitKernel<float, int>*) [673030]
12.4302s  1.2661ms              (3 1 1)       (256 1 1)        21        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::InnerReductionKernel<int=128, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::MaxReducer<float>, Eigen::DSizes<int, int=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::internal::MaxReducer<float>, int>(Eigen::internal::MaxReducer<float>, float, int, float, Eigen::internal::MaxReducer<float>::CoeffReturnType*) [673037]
12.4314s  88.083us              (2 1 1)      (1024 1 1)        18        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float const >, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const , Eigen::TensorBroadcastingOp<Eigen::DSizes<int, int=2> const , Eigen::TensorReshapingOp<Eigen::DSizes<int, int=2> const , Eigen::TensorForcedEvalOp<Eigen::TensorReductionOp<Eigen::internal::MaxReducer<float>, Eigen::DSizes<int, int=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16> const > const > const > const > const > const > const > const , Eigen::GpuDevice>, int>(float, int=2) [673041]
12.5136s  2.2500us              (1 1 1)      (1024 1 1)         8        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::ReductionInitKernel<float, int>(float, int, Eigen::internal::ReductionInitKernel<float, int>*) [673047]
12.5136s  732.50us              (3 1 1)       (256 1 1)        27        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::InnerReductionKernel<int=128, Eigen::TensorEvaluator<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::DSizes<int, int=1> const , Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const > const , Eigen::GpuDevice>, Eigen::internal::SumReducer<float>, int>(Eigen::internal::SumReducer<float>, float, int, float, Eigen::internal::SumReducer<float>::CoeffReturnType*) [673054]
12.5143s  84.250us              (2 1 1)      (1024 1 1)        21        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_quotient_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const , Eigen::TensorBroadcastingOp<Eigen::DSizes<int, int=2> const , Eigen::TensorReshapingOp<Eigen::DSizes<int, int=2> const , Eigen::TensorForcedEvalOp<Eigen::TensorReductionOp<Eigen::internal::SumReducer<float>, Eigen::DSizes<int, int=1> const , Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16> const > const > const > const > const > const > const , Eigen::GpuDevice>, int>(float, int=2) [673058]
12.6129s  14.167us              (2 1 1)      (1024 1 1)        18        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=5, int=1, int>, int=16>, Eigen::TensorSlicingOp<Eigen::DSizes<int, int=5> const , Eigen::DSizes<int, int=5> const , Eigen::TensorMap<Eigen::Tensor<float const , int=5, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=5) [673118]
12.6129s  9.6670us              (1 1 1)      (1024 1 1)        18        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_NonVectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=5, int=1, int>, int=16>, Eigen::TensorSlicingOp<Eigen::DSizes<int, int=5> const , Eigen::DSizes<int, int=5> const , Eigen::TensorMap<Eigen::Tensor<float const , int=5, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=5) [673173]
12.6130s  9.8330us              (1 1 1)      (1024 1 1)        22        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_sigmoid_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [673195]
12.6130s  45.000us                    -               -         -         -         -  270.40KB  6.0089GB/s        GK20A (0)         1        15  [CUDA memcpy DtoH]
12.6130s  107.58us                    -               -         -         -         -  692.22KB  6.4343GB/s        GK20A (0)         1        15  [CUDA memcpy DtoH]
12.6131s  3.9160us                    -               -         -         -         -  13.520KB  3.4525GB/s        GK20A (0)         1        15  [CUDA memcpy DtoH]
12.6131s  1.9170us                    -               -         -         -         -  3.3800KB  1.7632GB/s        GK20A (0)         1        15  [CUDA memcpy DtoH]
12.6435s  4.0840us              (1 1 1)      (1024 1 1)        15        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>, bool=1>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035726]
12.6438s  3.3340us              (1 1 1)      (1024 1 1)        13        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035733]
12.6441s  3.8330us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035740]
12.6447s  3.3330us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035747]
12.6449s  4.5000us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035754]
12.6452s  3.4160us              (1 1 1)      (1024 1 1)        15        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>, bool=1>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035791]
12.6453s  3.0000us              (1 1 1)      (1024 1 1)        13        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035798]
12.6455s  3.8330us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035805]
12.6457s  3.5830us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035812]
12.6458s  3.7500us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035819]
12.6461s  3.7500us              (1 1 1)      (1024 1 1)        15        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>, bool=1>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035856]
12.6462s  3.0000us              (1 1 1)      (1024 1 1)        13        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035863]
12.6463s  4.0840us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035870]
12.6464s  3.9160us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035877]
12.6465s  3.8330us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035884]
12.6468s  3.3330us              (1 1 1)      (1024 1 1)        15        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>, bool=1>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035921]
12.6469s  3.1670us              (1 1 1)      (1024 1 1)        13        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035928]
12.6470s  3.7500us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035935]
12.6471s  3.5000us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035942]
12.6472s  3.7500us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035949]
12.6474s  3.2500us              (1 1 1)      (1024 1 1)        15        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float>, bool=1>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035986]
12.6475s  3.2500us              (1 1 1)      (1024 1 1)        13        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1035993]
12.6476s  3.8330us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1036000]
12.6478s  3.8330us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1036007]
12.6479s  3.9170us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -        GK20A (0)         1        13  void Eigen::internal::EigenMetaKernel_Vectorizable<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [1036014]
